"","GEOID","GEO_ID","state","place","NAME","CRRALL","CRRINT","RESP_DATE","FSRR2010","dif","popul","hhold","hunit","hhinc","povty","lmeng","hispa","white","black","asian","other","nonwh"
"53","1755041","1600000US1755041","17","55041","Oakwood Hills village, Illinois",83.9,75.5,"2020-08-19",82,1.90000000000001,2245,806,821,89875,7.8,0.9,6.9,90.8,0,1.7,0.6,9.2
"54","1761314","1600000US1761314","17","61314","Posen village, Illinois",61.4,49.9,"2020-08-19",75.6,-14.2,6211,1905,2078,48682,25.6,3.4,56.4,26.8,13.2,0.2,3.4,73.2
"55","1756627","1600000US1756627","17","56627","Orland Hills village, Illinois",79.6,72.2,"2020-08-19",76.5,3.09999999999999,7181,2363,2457,87068,15.6,1.8,11.9,70.1,9.8,7,1.2,29.9
"56","1756640","1600000US1756640","17","56640","Orland Park village, Illinois",81.8,72.1,"2020-08-19",82.2,-0.400000000000006,59100,22307,23202,88585,4.3,4.4,7.3,82.2,3.4,5.6,1.5,17.8
"57","1756887","1600000US1756887","17","56887","Oswego village, Illinois",84,79,"2020-08-19",80,4,34383,11114,11292,103352,1.2,1.9,15.2,74.1,4.1,4.6,2,25.9
"58","1759052","1600000US1759052","17","59052","Peotone village, Illinois",69.1,60,"2020-08-19",79.5,-10.4,4294,1514,1555,83358,5.3,0,6.7,89.2,0.3,0.3,3.5,10.8
"59","1753442","1600000US1753442","17","53442","North Aurora village, Illinois",79.3,67.6,"2020-08-19",78.9,0.399999999999991,17653,6485,6672,81096,6.2,2.6,16.1,71.9,5,5,2,28.1
"60","1753455","1600000US1753455","17","53455","North Barrington village, Illinois",79,72.6,"2020-08-19",78.5,0.5,2974,1068,1153,178611,4.3,0.3,2.7,88.2,2,4.4,2.7,11.8
"61","1755639","1600000US1755639","17","55639","Old Mill Creek village, Illinois",53.9,44.9,"2020-08-19",57,-3.1,166,66,109,71250,4.8,0,11.4,84.9,0,0,3.7,15.1
"62","1753481","1600000US1753481","17","53481","Northbrook village, Illinois",82.5,75,"2020-08-19",80.4,2.09999999999999,33463,12945,13878,123457,3,4.8,2.1,80.8,1.2,14.5,1.4,19.2
"63","1757225","1600000US1757225","17","57225","Palatine village, Illinois",78.1,71.5,"2020-08-19",75.7,2.39999999999999,68847,26881,28362,76776,9.3,6.4,20.4,63.7,2.2,11.5,2.2,36.3
"64","1753663","1600000US1753663","17","53663","Northfield village, Illinois",81.9,73.4,"2020-08-19",77.4,4.5,5536,2323,2535,120125,6.3,3.4,3.9,87.1,0.4,8.1,0.5,12.9
"65","1753871","1600000US1753871","17","53871","Northlake city, Illinois",71.4,53.5,"2020-08-19",74.9,-3.5,12351,3776,4166,54492,15.7,12.8,63.5,30.2,4,1.7,0.6,69.8
"66","1754144","1600000US1754144","17","54144","North Riverside village, Illinois",76.1,64.1,"2020-08-19",78.4,-2.30000000000001,6813,2657,2713,62998,8.8,2.3,31.3,55.7,5.1,6.1,1.8,44.3
"67","1759988","1600000US1759988","17","59988","Pingree Grove village, Illinois",84,79.7,"2020-08-19",77.3,6.7,7337,2639,2824,91042,9.5,2.4,8.3,84.3,2,4.4,1,15.7
"68","1755938","1600000US1755938","17","55938","Olympia Fields village, Illinois",77,65.1,"2020-08-19",76.5,0.5,5055,1983,2241,98564,2,1.7,0,20.8,74.2,2.1,2.9,79.2
"69","1760287","1600000US1760287","17","60287","Plainfield village, Illinois",81.6,76.6,"2020-08-19",79.4,2.19999999999999,43048,12521,12757,126127,2.1,1.6,13.7,68.3,7.5,7.8,2.7,31.7
"70","1754534","1600000US1754534","17","54534","Oak Brook village, Illinois",78.3,60.4,"2020-08-19",78.6,-0.299999999999997,8122,3154,3405,137059,2.7,2.3,4,60.8,1.7,31.1,2.4,39.2
"71","1757381","1600000US1757381","17","57381","Palos Heights city, Illinois",84.4,71.5,"2020-08-19",82.1,2.30000000000001,12534,4710,4928,85481,4.5,1.3,4.3,90.2,2.1,2.1,1.3,9.8
"72","1760352","1600000US1760352","17","60352","Plano city, Illinois",73.8,66.8,"2020-08-19",71.2,2.59999999999999,11766,3641,3669,66699,17.2,1.2,31.5,54.7,10.1,0.9,2.8,45.3
"73","1765442","1600000US1765442","17","65442","Romeoville village, Illinois",77.8,69.9,"2020-08-19",76.6,1.2,39702,11541,12378,77053,7,8,33.1,47,10.4,6.5,3,53
"74","1763641","1600000US1763641","17","63641","Richmond village, Illinois",71.5,60.5,"2020-08-19",75.7,-4.2,1880,776,889,42000,28.1,0,7.4,80.2,1.9,3.8,6.7,19.8
"75","1763706","1600000US1763706","17","63706","Richton Park village, Illinois",66.7,58.2,"2020-08-19",64.8,1.90000000000001,13629,4947,5571,56324,17.7,0.5,2.9,9.7,84.3,1.6,1.5,90.3
"76","1766703","1600000US1766703","17","66703","St. Charles city, Illinois",78.6,71.6,"2020-08-19",79.1,-0.5,32772,12708,13278,96197,4.9,1.9,10.6,83,1.4,3.1,1.9,17
"77","1764135","1600000US1764135","17","64135","Ringwood village, Illinois",77.6,67.1,"2020-08-19",81.5,-3.90000000000001,743,275,291,111875,3,0,2.8,90.8,1.3,5,0.1,9.2
"78","1764278","1600000US1764278","17","64278","Riverdale village, Illinois",48.9,34.9,"2020-08-19",55,-6.1,12786,4913,6003,33573,30.6,0.2,3.2,3.4,91.2,0.2,2,96.6
"79","1765806","1600000US1765806","17","65806","Roselle village, Illinois",82.7,74.6,"2020-08-19",79.7,3,22873,8441,8680,85070,4.4,4.1,10.4,74.9,4.4,8,2.3,25.1
